FACILITY_NAME,site_id,CLASS_STATUS,CONTACT,Latitude,Longitude,LOCATION_ADDRESS_LINE_1,LOCATION_ADDRESS_LINE_2,CITY,STATE,ZIP,NAICS,SIC,COUNTY,PERMIT_DOCUMENT_LINK,PUBLIC_RECORDS_SEARCH_LINK,FACILITY_ECHO_LINK,x,y
"Anson Gas Producers, LLC",0400062,Title V,Fayetteville Regional Office,34.9959,-80.169,786 Dozer Drive,,Polkton,NC,28135,Pipeline Transportation of Natural Gas (486210),Natural Gas Transmission (4922),Anson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%220400062%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%220400062%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003700400062,-8924372.257,4163323.984399229
"Arauco North America, Inc.",1900015,Title V,Raleigh Regional Office,35.6015,-79.0434,985 Corinth Road,,Moncure,NC,27559,Reconstituted Wood Product Manufacturing (321219),Reconstituted Wood Products (2493),Chatham,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221900015%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221900015%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701900015,-8799071.039,4245926.023428652
Ardagh Glass Inc.,9100069,Title V,Raleigh Regional Office,36.2911,-78.3919,620 Facet Road,,Henderson,NC,27537,Glass Container Manufacturing (327213),Glass Containers (3221),Vance,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%229100069%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%229100069%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003709100069,-8726546.39,4340750.566239094
"Austin Quality Foods, Inc.",9200504,Title V,Raleigh Regional Office,35.8162,-78.8097,One Quality Lane,,Cary,NC,27513,Cookie and Cracker Manufacturing (311821),Cookies And Crackers (2052),Wake,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%229200504%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%229200504%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003709200504,-8773055.674,4275360.158758494
"Automated Solutions, LLC",1400228,Title V,Asheville Regional Office,35.8988,-81.553,621 Virginia Street SW,,Lenoir,NC,28645,Urethane and Other Foam Product (except Polystyrene) Manufacturing (326150),Plastics Foam Products (3086),Caldwell,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221400228%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221400228%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701400228,-9078438.433,4286705.328007853
"Automated Solutions, LLC - Plant #3",4900339,Title V,Mooresville Regional Office,35.7889,-80.9212,2020 West Front Street,,Statesville,NC,28677,Urethane and Other Foam Product (except Polystyrene) Manufacturing (326150),Plastics Foam Products (3086),Iredell,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224900339%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224900339%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704900339,-9008106.778,4271613.080364838
Avient Protective Materials LLC,7400021,Title V,Washington Regional Office,35.6595,-77.3569,5750 Greenville Boulevard NE,,Greenville,NC,27834,Artificial and Synthetic Fibers and Filaments Manufacturing (325220),"Organic Fibers, Noncellulosic (2824)",Pitt,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227400021%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227400021%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707400021,-8611330.717,4253869.680378322
"BFI Waste Systems of North America, CMS Landfill V",1300110,Title V,Mooresville Regional Office,35.3451,-80.6659,5105 Morehead Road,,Concord,NC,28027,Solid Waste Landfill (562212),Refuse Systems (4953),Cabarrus,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221300110%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221300110%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701300110,-8979686.912,4210878.313782546
"BRP US, Inc.",6100088,Title V,Asheville Regional Office,35.9097,-82.0917,1211 Greenwood Road,,Spruce Pine,NC,28777,Aluminum Foundries (except Die-Casting) (331524),Aluminum Foundries (3365),Mitchell,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%226100088%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%226100088%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003706100088,-9138406.242,4288203.334470736
Bakelite Chemicals LLC - Conway,6600016,Title V,Raleigh Regional Office,36.4292,-77.2243,200 Ampac Road,,Conway,NC,27820,All Other Basic Organic Chemical Manufacturing (325199),"Industrial Organic Chemicals,nec (2869)",Northampton,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%226600016%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%226600016%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003706600016,-8596569.753,4359840.481209243
Bakelite Synthetics,2400093,Title V,Wilmington Regional Office,34.3285,-78.2029,333 Neils Eddy Road,,Riegelwood,NC,28456,All Other Basic Organic Chemical Manufacturing (325199),"Industrial Organic Chemicals,nec (2869)",Columbus,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222400093%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222400093%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702400093,-8705507.007,4072997.304
Baker Interiors Furniture Company,1200037,Title V,Asheville Regional Office,35.7183,-81.4408,1 Baker Way,,Connelly Springs,NC,28612,Nonupholstered Wood Household Furniture Manufacturing (337122),Wood Household Furniture (2511),Burke,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221200037%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221200037%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701200037,-9065948.386,4261928.796790008
Baxter Healthcare Corporation,5600164,Title V,Asheville Regional Office,35.8358,-81.9942,65 Pitts Station Road,,Marion,NC,28752,Steam and Air-Conditioning Supply (221330),Steam Supply (4961),McDowell,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225600164%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225600164%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705600164,-9127552.592,4278051.163497737
Bernhardt Furniture Company - Plants 3&7,1400007,Title V,Asheville Regional Office,35.9025,-81.5475,1502 Morganton Boulevard,,Lenoir,NC,28645,Nonupholstered Wood Household Furniture Manufacturing (337122),Wood Household Furniture (2511),Caldwell,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221400007%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221400007%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701400007,-9077826.175,4287213.802483741
"Bimbo Bakeries USA, Inc. - Valdese",1200141,Title V,Asheville Regional Office,35.7433,-81.5592,320 East Main Street,US Highway 70,Valdese,NC,28690,Commercial Bakeries (311812),Bread Cake And Related Product (2051),Burke,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221200141%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221200141%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701200141,-9079128.614,4265357.093319235
Binderholz Enfield Mill,4200201,Title V,Raleigh Regional Office,36.218,-77.6319,260 Piper Lane,,Enfield,NC,27823,Sawmills (321113),Sawmills & Planing Mills General (2421),Halifax,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224200201%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224200201%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704200201,-8641943.577,4330659.446
Blackburn Sanitary Landfill,1800488,Title V,Mooresville Regional Office,35.6056,-81.3092,3993 Rocky Ford Road,,Newton,NC,28658,Solid Waste Landfill (562212),Refuse Systems (4953),Catawba,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221800488%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221800488%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701800488,-9051298.741,4246487.368567796
"Blackwood Associates, LLC",5100210,Title V,Raleigh Regional Office,35.305,-78.3929,1683 Barefoot Road,,Newton Grove,NC,28366,All Other Miscellaneous Wood Product Manufacturing (321999),Sawmills & Planing Mills General (2421),Johnston,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225100210%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225100210%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705100210,-8726657.71,4205407.061736635
"Blackwood Associates, LLC",5100219,Title V,Raleigh Regional Office,35.2905,-78.3767,1683 Barefoot Road,,Newton Grove,NC,28366,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Johnston,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225100219%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225100219%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705100219,-8724854.334,4203429.346499823
"Bridgestone Americas Tire Operations, LLC",9800043,Title V,Raleigh Regional Office,35.7597,-77.8672,3001 Firestone Parkway NE,,Wilson,NC,27893,Tire Manufacturing (except Retreading) (326211),Tires And Inner Tubes (3011),Wilson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%229800043%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%229800043%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003709800043,-8668137.053,4267606.640632385
"Bridgestone-Bandag, LLC",3900009,Title V,Raleigh Regional Office,36.2962,-78.6104,505 West Industry Drive,,Oxford,NC,27565,Tire Retreading (326212),Tire Retreading And Repair Shops (7534),Granville,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%223900009%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%223900009%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003703900009,-8750869.699,4341454.950491951
"Bullfrog Bella Debris Site, LLC",2400168,Title V,Wilmington Regional Office,34.3451,-78.5093,651 Ben Jones Road,,Lake Waccamaw,NC,28450,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Columbus,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222400168%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222400168%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702400168,-8739615.299,4075235.190545559
Campbell Soup Supply Company,7800159,Title V,Fayetteville Regional Office,34.7724,-79.325,2120 Highway 71 North,,Maxton,NC,28364,Specialty Canning (311422),Canned Specialties (2032),Robeson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227800159%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227800159%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707800159,-8830418.607,4132994.0680679507
